      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_snow  Min_snow  Max_snow   SD_snow Avg_thunc Min_thunc Max_thunc  SD_thunc Avg_thkns Min_thkns Max_thkns  SD_thkns
IceBridge-QL 2012-GrnlQL  16100000   2012   76.8   76.8   76.8      3   67.28 -168.74   67.04   67.51 -168.80 -168.10     40       851      0.10      0.00      0.61      0.07      1.09      0.67      1.77      0.25      2.24      0.34     10.08      1.26
IceBridge-QL 2012-GrnlQL  16100001   2012   76.8   76.8   76.8      3   67.74 -168.80   67.51   67.97 -168.80 -168.80     42       904      0.11      0.00      0.49      0.07      0.77      0.64      1.24      0.08      2.30      0.38     11.26      1.28
IceBridge-QL 2012-GrnlQL  16100002   2012   76.8   76.8   76.8      3   68.19 -168.80   67.97   68.42 -168.81 -168.80     41       878      0.14      0.00      0.69      0.10      0.65      0.51      1.25      0.09      2.51      0.18     12.40      1.33
IceBridge-QL 2012-GrnlQL  16100003   2012   76.8   76.8   76.8      3   68.64 -168.81   68.42   68.88 -168.81 -168.81     37       787      0.13      0.00      0.57      0.09      0.58      0.51      1.10      0.08      2.33      0.12     10.71      1.57
IceBridge-QL 2012-GrnlQL  16100004   2012   76.8   76.8   76.8      3   69.06 -168.81   68.88   69.33 -168.81 -168.81     31       657      0.12      0.02      0.49      0.06      0.84      0.55      1.36      0.22      1.69      0.16      7.25      1.04
IceBridge-QL 2012-GrnlQL  16100005   2012   77.0   77.0   77.0      3   70.31 -164.37   70.07   70.54 -164.44 -164.30     34       722      0.14      0.00      0.63      0.10      1.03      0.79      1.44      0.13      2.81      0.23     10.88      1.22
IceBridge-QL 2012-GrnlQL  16100006   2012   76.8   76.8   76.8      3   70.94 -168.68   70.70   71.15 -168.77 -168.59     40       829      0.10      0.00      0.43      0.06      1.04      0.73      1.35      0.15      1.54      0.35      7.51      0.89
IceBridge-QL 2012-GrnlQL  16100007   2012   77.0   77.0   77.0      3   70.79 -164.52   70.54   71.02 -164.59 -164.44     42       886      0.14      0.00      0.83      0.08      0.76      0.67      1.09      0.06      2.69      0.50      8.94      1.23
IceBridge-QL 2012-GrnlQL  16100008   2012   76.8   76.8   76.8      3   71.35 -168.51   71.15   71.60 -168.59 -168.41     38       785      0.09      0.02      0.38      0.05      0.61      0.55      1.08      0.06      1.40      0.14     10.09      1.08
IceBridge-QL 2012-GrnlQL  16100009   2012   76.9   76.8   77.0      3   71.30 -164.49   71.03   71.51 -164.75 -163.42     50      1056      0.14      0.02      0.55      0.08      0.95      0.41      1.34      0.24      2.27      0.30     10.61      1.19
